Honorific Title,First Name,Last Name,Constituency,Province / Territory,Political Affiliation,Start Date,End Date
,Michael,Coteau,Don Valley East,Ontario,Liberal,2021-09-20 0:00,
,Julie,Dabrusin,Toronto—Danforth,Ontario,Liberal,2021-09-20 0:00,
,Marc,Dalton,Pitt Meadows—Maple Ridge,British Columbia,Conservative,2021-09-20 0:00,
,Pam,Damoff,Oakville North—Burlington,Ontario,Liberal,2021-09-20 0:00,
,Raquel,Dancho,Kildonan—St. Paul,Manitoba,Conservative,2021-09-20 0:00,
,Scot,Davidson,York—Simcoe,Ontario,Conservative,2021-09-20 0:00,
,Don,Davies,Vancouver Kingsway,British Columbia,NDP,2021-09-20 0:00,
,Claude,DeBellefeuille,Salaberry—Suroît,Quebec,Bloc Québécois,2021-09-20 0:00,
,Gérard,Deltell,Louis-Saint-Laurent,Quebec,Conservative,2021-09-20 0:00,
,Chris,d'Entremont,West Nova,Nova Scotia,Conservative,2021-09-20 0:00,
,Caroline,Desbiens,Beauport—Côte-de-Beaupré—Île d'Orléans—Charlevoix,Quebec,Bloc Québécois,2021-09-20 0:00,
,Luc,Desilets,Rivière-des-Mille-Îles,Quebec,Bloc Québécois,2021-09-20 0:00,
,Blake,Desjarlais,Edmonton Griesbach,Alberta,NDP,2021-09-20 0:00,
,Sukh,Dhaliwal,Surrey—Newton,British Columbia,Liberal,2021-09-20 0:00,
,Anju,Dhillon,Dorval—Lachine—LaSalle,Quebec,Liberal,2021-09-20 0:00,
,Lena Metlege,Diab,Halifax West,Nova Scotia,Liberal,2021-09-20 0:00,
,Todd,Doherty,Cariboo—Prince George,British Columbia,Conservative,2021-09-20 0:00,
,Han,Dong,Don Valley North,Ontario,Liberal,2021-09-20 0:00,
,Terry,Dowdall,Simcoe—Grey,Ontario,Conservative,2021-09-20 0:00,
,Earl,Dreeshen,Red Deer—Mountain View,Alberta,Conservative,2021-09-20 0:00,
,Francis,Drouin,Glengarry—Prescott—Russell,Ontario,Liberal,2021-09-20 0:00,
,Emmanuel,Dubourg,Bourassa,Quebec,Liberal,2021-09-20 0:00,
Hon.,Jean-Yves,Duclos,Québec,Quebec,Liberal,2021-09-20 0:00,
,Terry,Duguid,Winnipeg South,Manitoba,Liberal,2021-09-20 0:00,
,Eric,Duncan,Stormont—Dundas—South Glengarry,Ontario,Conservative,2021-09-20 0:00,
Hon.,Kirsty,Duncan,Etobicoke North,Ontario,Liberal,2021-09-20 0:00,
,Julie,Dzerowicz,Davenport,Ontario,Liberal,2021-09-20 0:00,
,Ali,Ehsassi,Willowdale,Ontario,Liberal,2021-09-20 0:00,
,Fayçal,El-Khoury,Laval—Les Îles,Quebec,Liberal,2021-09-20 0:00,
,Stephen,Ellis,Cumberland—Colchester,Nova Scotia,Conservative,2021-09-20 0:00,
,Dave,Epp,Chatham-Kent—Leamington,Ontario,Conservative,2021-09-20 0:00,
,Nathaniel,Erskine-Smith,Beaches—East York,Ontario,Liberal,2021-09-20 0:00,
,Rosemarie,Falk,Battlefords—Lloydminster,Saskatchewan,Conservative,2021-09-20 0:00,
,Ted,Falk,Provencher,Manitoba,Conservative,2021-09-20 0:00,
Hon.,Ed,Fast,Abbotsford,British Columbia,Conservative,2021-09-20 0:00,
Hon.,Greg,Fergus,Hull—Aylmer,Quebec,Liberal,2021-09-20 0:00,
,Michelle,Ferreri,Peterborough—Kawartha,Ontario,Conservative,2021-09-20 0:00,
,Andy,Fillmore,Halifax,Nova Scotia,Liberal,2021-09-20 0:00,
Hon.,Kerry-Lynne,Findlay,South Surrey—White Rock,British Columbia,Conservative,2021-09-20 0:00,
,Darren,Fisher,Dartmouth—Cole Harbour,Nova Scotia,Liberal,2021-09-20 0:00,
,Peter,Fonseca,Mississauga East—Cooksville,Ontario,Liberal,2021-09-20 0:00,
Hon.,Mona,Fortier,Ottawa—Vanier,Ontario,Liberal,2021-09-20 0:00,
,Rhéal,Fortin,Rivière-du-Nord,Quebec,Bloc Québécois,2021-09-20 0:00,
,Peter,Fragiskatos,London North Centre,Ontario,Liberal,2021-09-20 0:00,
Hon.,Sean,Fraser,Central Nova,Nova Scotia,Liberal,2021-09-20 0:00,
Hon.,Chrystia,Freeland,University—Rosedale,Ontario,Liberal,2021-09-20 0:00,
Hon.,Hedy,Fry,Vancouver Centre,British Columbia,Liberal,2021-09-20 0:00,
,Iqwinder,Gaheer,Mississauga—Malton,Ontario,Liberal,2021-09-20 0:00,
,Cheryl,Gallant,Renfrew—Nipissing—Pembroke,Ontario,Conservative,2021-09-20 0:00,
Hon.,Marc,Garneau,Notre-Dame-de-Grâce—Westmount,Quebec,Liberal,2021-09-20 0:00,
,Jean-Denis,Garon,Mirabel,Quebec,Bloc Québécois,2021-09-20 0:00,
,Randall,Garrison,Esquimalt—Saanich—Sooke,British Columbia,NDP,2021-09-20 0:00,
,Marie-Hélène,Gaudreau,Laurentides—Labelle,Quebec,Bloc Québécois,2021-09-20 0:00,
,Leah,Gazan,Winnipeg Centre,Manitoba,NDP,2021-09-20 0:00,
,Bernard,Généreux,Montmagny—L'Islet—Kamouraska—Rivière-du-Loup,Quebec,Conservative,2021-09-20 0:00,
,Garnett,Genuis,Sherwood Park—Fort Saskatchewan,Alberta,Conservative,2021-09-20 0:00,
,Mark,Gerretsen,Kingston and the Islands,Ontario,Liberal,2021-09-20 0:00,
,Marilène,Gill,Manicouagan,Quebec,Bloc Québécois,2021-09-20 0:00,
,Marilyn,Gladu,Sarnia—Lambton,Ontario,Conservative,2021-09-20 0:00,
,Joël,Godin,Portneuf—Jacques-Cartier,Quebec,Conservative,2021-09-20 0:00,
,Laila,Goodridge,Fort McMurray—Cold Lake,Alberta,Conservative,2021-09-20 0:00,
Hon.,Karina,Gould,Burlington,Ontario,Liberal,2021-09-20 0:00,
,Jacques,Gourde,Lévis—Lotbinière,Quebec,Conservative,2021-09-20 0:00,
,Tracy,Gray,Kelowna—Lake Country,British Columbia,Conservative,2021-09-20 0:00,
,Matthew,Green,Hamilton Centre,Ontario,NDP,2021-09-20 0:00,
